Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 05.221.99.161.00 2021,4649.0,B.HORNIDURAK:URAK,500.0,500.0,0.0,41.25,458.75,41.25,41.25,41.25,0.0,2021,16100,,2,,05
1 05.226.01.153.40 2021,4650.0,KANONAK:ZERBITZU PUBLIKOAK,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,2021,15340,,2,,05
1 05.226.01.160.00 2021,4651.0,SANEAMENDUKO KANONA,31000.0,31000.0,0.0,0.0,31000.0,0.0,0.0,0.0,0.0,2021,16000,,2,,05
1 05.226.99.133.00 2021,6149.0,KASKORA SARRERA-KALTEAK,1000.0,1000.0,0.0,992.59,7.41,992.59,992.59,992.59,0.0,2021,13300,,2,,05
1 05.226.99.153.40 2021,4654.0,H.GASTU:ZERBITZU PUBLIKOAK,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,2021,15340,,2,,05
1 05.226.99.161.00 2021,4655.0,KANONAK.BESTE.URAK,8000.0,8000.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,2021,16100,,2,,05
1 05.226.99.241.00 2021,4657.0,MANTENUA.MATERIALA.TRANSPACAR,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,2021,24100,,2,,05
1 05.226.99.929.10 2021,4659.0,H.GASTU:EPAITEGIA,400.0,400.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,2021,92910,,2,,05
1 05.227.01.132.00 2021,5638.0,GARBIKETA. UDALTZAINGOA,21000.0,21000.0,0.0,1038.16,19961.84,1038.16,1038.16,1038.16,0.0,2021,13200,,2,,05
1 05.227.01.163.00 2021,4660.0,KALE GARBIKETA KONTRATUA,1255900.0,1255900.0,0.0,89469.59,1166430.41,89469.59,89469.59,89469.59,0.0,2021,16300,,2,,05
1 05.227.01.241.00 2021,5639.0,GARBIKETA.GABRIEL ZELAIA,9000.0,9000.0,0.0,695.57,8304.43,695.57,695.57,695.57,0.0,2021,24100,,2,,05
1 05.227.01.323.10 2021,5230.0,GARBIKETA.IKASTETXEAK,597000.0,597000.0,0.0,44041.6,552958.4,44041.6,44041.6,44041.6,0.0,2021,32310,,2,,05
1 05.227.01.323.30 2021,5231.0,GARBIKETA.HAUR ESKOLA,105000.0,105000.0,0.0,8115.67,96884.33,8115.67,8115.67,8115.67,0.0,2021,32330,,2,,05
1 05.227.01.324.10 2021,5232.0,GARBIKETA.HLP IKASTAROAK,11000.0,11000.0,0.0,850.18,10149.82,850.18,850.18,850.18,0.0,2021,32410,,2,,05
1 05.227.01.326.01 2021,5233.0,GARBIKETA.MUSIKA ESK,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,2021,32601,,2,,05
1 05.227.01.326.03 2021,5234.0,GARBIKETA.HHI-EPA,17000.0,17000.0,0.0,1288.53,15711.47,1288.53,1288.53,1288.53,0.0,2021,32603,,2,,05
1 05.227.01.333.00 2021,5235.0,GARBIKETA.KULTUR ETXEA,173000.0,173000.0,0.0,12506.15,160493.85,12506.15,12506.15,12506.15,0.0,2021,33300,,2,,05
