#Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 05.213.01.161.00 2016,4624.0,MANT.IBILG:URAK,3500.0,3500.0,0.0,3409.39,90.61,3409.39,3409.39,3409.39,3409.39,2016,16100,,2,,05
1 05.213.01.165.00 2016,4625.0,MANT.IBILG:KALEKO ARGIKUNTZA,4100.0,4100.0,0.0,2665.97,1434.03,2665.97,2665.97,2665.97,2665.97,2016,16500,,2,,05
1 05.213.01.323.10 2016,4626.0,MANT.IBILG:IKASTETXEAK,700.0,700.0,0.0,324.79,375.21,324.79,324.79,324.79,324.79,2016,32310,,2,,05
1 05.213.01.414.00 2016,4627.0,MANT.IBILG:INGURUN.HOBEKUNTZA,1932.0,1932.0,0.0,1521.43,410.57,1521.43,1521.43,1521.43,1521.43,2016,41400,,2,,05
1 05.213.01.920.01 2016,4628.0,MANT.IBILG:ADMIN.OROKORRA,800.0,800.0,0.0,794.21,5.79,794.21,794.21,794.21,794.21,2016,92001,,2,,05
1 05.214.01.920.01 2016,4629.0,MANT.BULEGO EKIPOA,30000.0,45805.0,0.0,41130.12,4674.88,41130.12,41130.12,41130.12,41130.12,2016,92001,,2,,05
1 05.221.01.161.00 2016,4631.0,ENERG.ELEKT:URAK,25000.0,25000.0,0.0,20818.39,4181.61,20818.39,20818.39,20818.39,20818.39,2016,16100,,2,,05
1 05.221.01.165.00 2016,4632.0,ENERG.ELEKT:KALEKO ARGIKUNTZA,263310.0,263310.0,0.0,256142.7,7167.3,256142.7,256142.7,256142.7,256142.7,2016,16500,,2,,05
1 05.221.01.920.02 2016,4633.0,ENERG.ELEKT:UDAL ERAIKINAK,308030.0,308030.0,0.0,286643.42,21386.58,286643.42,286643.42,286643.42,286643.42,2016,92002,,2,,05
1 05.221.02.160.00 2016,4634.0,SANEAMENTUA-AÑARBE,522000.0,522000.0,0.0,504308.19,17691.81,504308.19,504308.19,504308.19,504308.19,2016,16000,,2,,05
1 05.221.02.161.00 2016,4635.0,UR HORNIDURA-AÑARBE,418676.0,418676.0,0.0,409080.84,9595.16,409080.84,409080.84,409080.84,409080.84,2016,16100,,2,,05
1 05.221.03.920.02 2016,4636.0,GASA: UDAL ERAIKINAK,180000.0,180000.0,0.0,121750.79,58249.21,121750.79,121750.79,121750.79,121750.79,2016,92002,,2,,05
1 05.221.04.153.40 2016,4637.0,ERREGAIA:OBRETAKO LANTALDEA,9500.0,9500.0,0.0,6781.38,2718.62,6781.38,6781.38,6781.38,6781.38,2016,15340,,2,,05
1 05.221.04.161.00 2016,4638.0,ERREGAIA:URAK,3000.0,3000.0,0.0,2505.6,494.4,2505.6,2505.6,2505.6,2505.6,2016,16100,,2,,05
1 05.221.04.165.00 2016,4639.0,ERREGAIA:KALEKO ARGIKUNTZA,5000.0,5000.0,0.0,2672.11,2327.89,2672.11,2672.11,2672.11,2672.11,2016,16500,,2,,05
1 05.221.04.323.10 2016,4640.0,ERREGAIA:IKASTETXEAK,900.0,900.0,0.0,844.03,55.97,844.03,844.03,844.03,844.03,2016,32310,,2,,05
1 05.221.04.414.00 2016,4641.0,ERREGAIA:INGURUN.HOBEKUNTZA,1230.0,1230.0,0.0,1361.57,-131.57,1361.57,1361.57,1361.57,1361.57,2016,41400,,2,,05
1 05.221.04.920.01 2016,4642.0,ERREGAIA:ADMINIST.OROKORRA,800.0,800.0,0.0,385.79,414.21,385.79,385.79,385.79,385.79,2016,92001,,2,,05
1 05.221.09.920.02 2016,4643.0,GARBIK.PROD.:UDAL ERAIKINAK,15000.0,15000.0,0.0,12560.86,2439.14,12560.86,12560.86,12560.86,12560.86,2016,92002,,2,,05
1 05.221.11.136.00 2016,4644.0,TRESNAK ETA ERREM:SUHILTZAILEAK,500.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,2016,13600,,2,,05
1 05.221.11.153.40 2016,4645.0,ERREMINTAK:OBRETAKO LANTALDEA,4000.0,4000.0,0.0,6260.83,-2260.83,6260.83,6260.83,6260.83,6260.83,2016,15340,,2,,05
1 05.221.11.161.00 2016,4646.0,TRESNAK ERREM:URAK,2000.0,2000.0,0.0,642.48,1357.52,642.48,642.48,642.48,642.48,2016,16100,,2,,05
1 05.221.11.164.00 2016,4647.0,ERREMINTAK:HILERRIA,400.0,400.0,0.0,212.33,187.67,212.33,212.33,212.33,212.33,2016,16400,,2,,05
1 05.221.11.165.00 2016,4648.0,TRESNAK:KALEKO ARGIKUNTZA,4000.0,4000.0,0.0,7021.43,-3021.43,7021.43,7021.43,7021.43,7021.43,2016,16500,,2,,05
1 05.221.99.161.00 2016,4649.0,B.HORNIDURAK:URAK,500.0,500.0,0.0,284.83,215.17,284.83,284.83,284.83,284.83,2016,16100,,2,,05
1 05.226.01.153.50 2016,4650.0,KANONAK:ZERBITZU PUBLIKOAK,1200.0,1200.0,0.0,1092.77,107.23,1092.77,1092.77,1092.77,1092.77,2016,15350,,2,,05
1 05.226.01.160.00 2016,4651.0,SANEAMENDUKO KANONA,32000.0,32000.0,0.0,30578.07,1421.93,30578.07,30578.07,30578.07,30578.07,2016,16000,,2,,05
1 05.226.06.414.00 2016,4652.0,ZUHAITZ EGUNA,3000.0,3000.0,0.0,2216.85,783.15,2216.85,2216.85,2216.85,2216.85,2016,41400,,2,,05
1 05.226.99.135.00 2016,4653.0,MATERIALA.BABES ZIBILA,4000.0,4000.0,0.0,4331.06,-331.06,4331.06,4331.06,4331.06,4331.06,2016,13500,,2,,05
1 05.226.99.135.00 2015,5005.0,MATERIALA.BABES ZIBILA,0.0,3740.72,0.0,3737.26,3.46,3737.26,3737.26,3737.26,3737.26,2015,13500,,2,,05
1 05.226.99.153.50 2016,4654.0,H.GASTU:ZERBITZU PUBLIKOAK,3000.0,3000.0,0.0,3506.42,-506.42,3506.42,3506.42,3506.42,3506.42,2016,15350,,2,,05
1 05.226.99.161.00 2016,4655.0,KANONAK.BESTE.URAK,5000.0,5000.0,0.0,2587.34,2412.66,2587.34,2587.34,2587.34,2587.34,2016,16100,,2,,05
1 05.226.99.162.10 2016,4656.0,MATERIALA.HONDAKINEN KUDEAKETA,60000.0,60000.0,0.0,50546.31,9453.69,40546.31,40546.31,40546.31,40546.31,2016,16210,,2,,05
1 05.226.99.162.10 2015,5007.0,MATERIALA.HONDAKINEN KUDEAKETA,0.0,6225.03,0.0,0.0,6225.03,0.0,0.0,0.0,0.0,2015,16210,,2,,05
1 05.226.99.241.00 2016,4657.0,MANTENUA.MATERIALA.TRANSPACAR,2000.0,2000.0,0.0,130.79,1869.21,130.79,130.79,130.79,130.79,2016,24100,,2,,05
1 05.226.99.333.00 2016,4658.0,H.GASTU:KULTUR ETXEA,500.0,500.0,0.0,561.08,-61.08,561.08,561.08,561.08,561.08,2016,33300,,2,,05
1 05.226.99.929.10 2016,4659.0,H.GASTU:EPAITEGIA,400.0,400.0,0.0,300.0,100.0,300.0,300.0,300.0,300.0,2016,92910,,2,,05
1 05.227.01.163.00 2016,4660.0,KALE GARBIKETA KONTRATUA,1070000.0,1070000.0,0.0,1059222.54,10777.46,1059222.54,1059222.54,1059222.54,1059222.54,2016,16300,,2,,05
1 05.227.01.920.02 2016,4661.0,GARBITZEKO KONT:UDAL ERAIKINAK,1171979.0,1171979.0,0.0,1197591.72,-25612.72,1197591.72,1197591.72,1197591.72,1197591.72,2016,92002,,2,,05
1 05.227.01.920.02 2015,5010.0,GARBITZEKO KONT:UDAL ERAIKINAK,0.0,2081.2,0.0,2081.2,0.0,2081.2,2081.2,2081.2,2081.2,2015,92002,,2,,05
1 05.227.95.162.10 2016,4888.0,HONDAKINAK.ERREFUSA+ORGANIKOA.,265200.0,408200.0,0.0,413428.87,-5228.87,413428.87,413428.87,413428.87,413428.87,2016,16210,,2,,05
1 05.227.96.162.10 2016,4889.0,ATEZ-ATE.BULEGOA.GARBITANIA,90000.0,90000.0,0.0,51543.21,38456.79,51543.21,51543.21,51543.21,51543.21,2016,16210,,2,,05
1 05.227.97.134.00 2016,4662.0,KONTRATUA:IGOGAILU.MANTEN.,21500.0,21500.0,0.0,19590.76,1909.24,19590.76,19590.76,19590.76,19590.76,2016,13400,,2,,05
1 05.227.98.133.00 2016,4663.0,KONTRAT:KASKORA SARTZEKO,18000.0,18000.0,0.0,24797.71,-6797.71,24797.71,24797.71,24797.71,24797.71,2016,13300,,2,,05
1 05.227.98.153.50 2016,4664.0,KONTRAT.KARTOGRAFA MANTENTZEA.,20000.0,20000.0,0.0,19461.07,538.93,13461.07,13461.07,13461.07,13461.07,2016,15350,,2,,05
1 05.227.98.153.50 2015,5011.0,KARTOGRAFIEN MANTENTZE KONTRATUA,0.0,2178.0,0.0,2178.0,0.0,2178.0,2178.0,2178.0,2178.0,2015,15350,,2,,05
1 05.227.98.162.10 2016,4665.0,HONDAKINAK.GARBITANIA.,1190000.0,1190000.0,0.0,1198556.43,-8556.43,1198556.43,1198556.43,1198556.43,1198556.43,2016,16210,,2,,05
1 05.227.98.311.01 2016,4890.0,KOMUNAK-JAIAK,18000.0,18000.0,0.0,17348.22,651.78,17348.22,17348.22,17348.22,17348.22,2016,31101,,2,,05
1 05.227.99.133.00 2016,4666.0,KONTRATUA:SEMAFOROEN MANTEN.,9500.0,9500.0,0.0,9459.61,40.39,9459.61,9459.61,9459.61,9459.61,2016,13300,,2,,05
1 05.227.99.171.00 2016,4667.0,KONTRATUA:PARKEAK-LORATEGIAK,450000.0,450000.0,0.0,438007.52,11992.48,438007.52,438007.52,438007.52,438007.52,2016,17100,,2,,05
1 05.227.99.311.00 2016,4668.0,KONTRATUA:ARRATOI-GARBIKETA,11000.0,11000.0,0.0,7177.2,3822.8,7177.2,7177.2,7177.2,7177.2,2016,31100,,2,,05
1 05.227.99.311.01 2016,4669.0,KONTRATUA:KOMUNEN GARBIKETA,27000.0,27000.0,0.0,26767.32,232.68,26767.32,26767.32,26767.32,26767.32,2016,31101,,2,,05
1 05.421.01.162.10 2016,4670.0,EKARPENA:SAN MARCOS,250000.0,257500.0,0.0,257324.34,175.66,257324.34,257324.34,257324.34,257324.34,2016,16210,,4,,05
1 05.422.01.414.00 2016,4671.0,EKARPENA:BEHEMENDI SASIAK GARBITZEKO,63000.0,63000.0,0.0,42000.0,21000.0,42000.0,42000.0,42000.0,42000.0,2016,41400,,4,,05
1 05.422.01.441.10 2016,4672.0,EKARPENA. GIPUZKOAKO GARRAIO AGENTZIA.,11000.0,11000.0,0.0,3576.0,7424.0,3576.0,3576.0,3576.0,3576.0,2016,44110,,4,,05
1 05.422.02.414.00 2016,4673.0,EKARPENA:BEHEMENDI,30000.0,30000.0,0.0,30000.0,0.0,25188.82,25188.82,25188.82,25188.82,2016,41400,,4,,05
1 05.471.01.441.10 2016,4674.0,DIRULAG.HERNANIKO HIRIBUSA,79766.0,79766.0,0.0,77896.0,1870.0,77896.0,77896.0,77896.0,77896.0,2016,44110,,4,,05
1 05.601.01.153.20 2016,4675.0,URBANIZAZIOA: KALEAK-BIDEAK.,85000.0,119268.0,0.0,119267.12,0.88,119267.12,119267.12,119267.12,119267.12,2016,15320,,6,,05
1 05.601.01.153.20 2015,5019.0,AZPIEGITURA ETA URBANIZ.:HERRIKO KALEAK,0.0,19830.3,0.0,19830.23,0.07,19830.23,19830.23,19830.23,19830.23,2015,15320,,6,,05
1 05.601.01.153.70 2016,4891.0,LANDA BIDEAK. INBERTSIOA,60000.0,60000.0,0.0,52967.26,7032.74,52967.26,52967.26,52967.26,52967.26,2016,15370,,6,,05
1 05.601.01.153.70 2015,5020.0,LANDA BIDEAK-NEGUKO PLANA,0.0,120427.39,0.0,120427.39,0.0,79401.79,60427.39,60427.39,60427.39,2015,15370,,6,,05
1 05.609.01.134.00 2016,4676.0,IRISGARRITASUN PLANA,60000.0,60000.0,0.0,59802.07,197.93,30003.1,30003.1,30003.1,30003.1,2016,13400,,6,,05
1 05.609.01.134.00 2015,5021.0,IRISGARRITASUN PLANA,0.0,33294.83,0.0,33294.83,0.0,3294.83,3294.83,3294.83,3294.83,2015,13400,,6,,05
1 05.609.01.153.30 2016,4677.0,URBANIZAZIOA: BESTE GUNEAK,37000.0,37000.0,0.0,37000.0,0.0,0.0,0.0,0.0,0.0,2016,15330,,6,,05
1 05.609.01.153.30 2015,5107.0,URBANIZAZIOA: BESTE GUNEAK,0.0,25000.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,2015,15330,,6,,05
1 05.609.02.153.30 2015,5108.0,HAUR PARKEA-ATLETISMO PISTA,0.0,260000.0,0.0,260000.0,0.0,0.0,0.0,0.0,0.0,2015,15330,,6,,05
1 05.609.03.153.30 2016,4679.0,KALE ALTZARIAK,18000.0,38000.0,0.0,34878.66,3121.34,34878.66,34878.66,34878.66,34878.66,2016,15330,,6,,05
1 05.622.01.311.01 2015,5024.0,KOMUN PUBLIKOAK,0.0,22586.78,0.0,20000.0,2586.78,7385.73,0.0,0.0,0.0,2015,31101,,6,,05
1 05.622.01.323.10 2016,4892.0,IKASTETXEAK-INBERTSIOAK,115000.0,233877.2,0.0,217177.36,16699.84,217177.36,198036.6,198036.6,198036.6,2016,32310,,6,,05
1 05.622.01.323.10 2015,5025.0,IKASTETXEAK-ERAIKUNTZA OBRAK,0.0,751903.97,0.0,751903.97,0.0,319883.35,300039.35,300039.35,300039.35,2015,32310,,6,,05
1 05.622.01.323.30 2016,5113.0,ERAIKINAREN BIRGAITZEA-HAUR ESKOLA,0.0,19000.0,0.0,12574.32,6425.68,12574.32,12574.32,12574.32,12574.32,2016,32330,,6,,05
1 05.622.01.335.10 2016,5112.0,ERAIKINAREN BIRGAITZEA-EUSKALTEGIA,0.0,69199.0,0.0,69198.09,0.91,69198.09,69198.09,69198.09,69198.09,2016,33510,,6,,05
1 05.622.01.920.02 2016,4681.0,UDAL ERAIKINAK-INBERTSIOAK,25500.0,67101.0,0.0,61019.29,6081.71,61019.29,25974.16,25974.16,25974.16,2016,92002,,6,,05
1 05.623.01.153.30 2015,5109.0,MAKINARIA.HERRIKO KALEAK,0.0,40000.0,0.0,31115.15,8884.85,31115.15,31115.15,31115.15,31115.15,2015,15330,,6,,05
1 05.623.02.153.50 2016,5123.0,PABILOIA-INSTALAZIOAK,0.0,5094.0,0.0,5093.86,0.14,5093.86,5093.86,5093.86,5093.86,2016,15350,,6,,05
