Partida,Barruko ,Deskribapena,B. betiko aurrek.,Has.ko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.121.99.432.00 2020,4308.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TURISMOA,19560.0,19560.0,0.0,24250.57,-4690.57,24250.57,24250.57,24250.57,24250.57,2020,43200,,1,,01
1 01.121.99.920.00 2020,4310.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,216453.0,216453.0,0.0,289952.23,-73499.23,289952.23,289952.23,289952.23,289952.23,2020,92000,,1,,01
1 01.121.99.920.10 2020,4311.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PERTSONA,70405.0,70405.0,0.0,84021.76,-13616.76,84021.76,84021.76,84021.76,84021.76,2020,92010,,1,,01
1 01.121.99.920.11 2020,4312.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LAN SEGU,28216.0,28216.0,0.0,28873.51,-657.51,28873.51,28873.51,28873.51,28873.51,2020,92011,,1,,01
1 01.121.99.920.20 2020,4313.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INFORMAT,47683.0,47683.0,0.0,49785.48,-2102.48,49785.48,49785.48,49785.48,49785.48,2020,92020,,1,,01
1 01.121.99.920.30 2020,4314.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ARTXIBOA,21982.0,21982.0,0.0,26893.8,-4911.8,26893.8,26893.8,26893.8,26893.8,2020,92030,,1,,01
1 01.121.99.924.00 2020,5881.0,SOLDATA OSAGARRIA. PARTEHARTZEA,19560.0,19560.0,0.0,32155.32,-12595.32,32155.32,32155.32,32155.32,32155.32,2020,92400,,1,,01
1 01.121.99.929.00 2020,6347.0,SOLDATAK BALORAZIOA-2020,370000.0,0.0,0.0,0.0,370000.0,0.0,0.0,0.0,0.0,2020,92900,,1,,01
1 01.121.99.929.10 2020,4315.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BAKE EPA,6927.0,6927.0,0.0,7293.49,-366.49,7293.49,7293.49,7293.49,7293.49,2020,92910,,1,,01
1 01.121.99.931.00 2020,4316.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,181446.0,181446.0,0.0,231232.37,-49786.37,231232.37,231232.37,231232.37,231232.37,2020,93100,,1,,01
1 01.121.99.932.00 2020,4317.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BILKETA,71486.0,71486.0,0.0,84771.55,-13285.55,84771.55,84771.55,84771.55,84771.55,2020,93200,,1,,01
1 01.121.99.933.00 2020,4318.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ONDAREA-,87668.0,87668.0,0.0,128499.65,-40831.65,128499.65,128499.65,128499.65,128499.65,2020,93300,,1,,01
1 01.131.01.241.00 2020,6177.0,ALDIBATERAKO SOLDATA.TOKI GARAPENA,0.0,0.0,0.0,35489.14,-35489.14,35489.14,35489.14,35489.14,35489.14,2020,24100,,1,,01
1 01.131.01.241.01 2020,4321.0,ALDIBATERAKO.SOLDATA.IKASTAROAK.,1018.0,1018.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,2020,24101,,1,,01
1 01.131.01.241.02 2020,4322.0,ALDIBATERAKO.SOLDATA.LANBIDE PROGRAMAK,135093.0,135093.0,0.0,118024.97,17068.03,118024.97,118024.97,118024.97,118024.97,2020,24102,,1,,01
1 01.131.01.324.10 2020,4325.0,ALDIBATERAKO.SOLDATA.HLP PROGRAMAK,127248.0,127248.0,0.0,124106.04,3141.96,124106.04,124106.04,124106.04,124106.04,2020,32410,,1,,01
1 01.131.01.330.00 2020,6178.0,ALDIBATERAKO.SOLDATA.KULTUR ZERBITZUAK,0.0,0.0,0.0,20563.64,-20563.64,20563.64,20563.64,20563.64,20563.64,2020,33000,,1,,01
1 01.131.01.333.00 2020,4326.0,ALDIBATERAKO.SOLDATA.KULTUR ETXEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,33300,,1,,01
1 01.160.01.132.00 2020,4329.0,GIZ.SEGURANTZA.UDALTZAINGOA,398530.0,398530.0,0.0,393526.3,5003.7,393526.3,393526.3,393526.3,393526.3,2020,13200,,1,,01
1 01.160.01.151.00 2020,4330.0,GIZ.SEGURANTZA.HIRIGINTZA,106909.0,106909.0,0.0,105284.37,1624.63,105284.37,105284.37,105284.37,105284.37,2020,15100,,1,,01
1 01.160.01.153.40 2020,4331.0,GIZ.SEGURANTZA.OBRETAKO LANTALDEA,177531.0,177531.0,0.0,143082.36,34448.64,143082.36,143082.36,143082.36,143082.36,2020,15340,,1,,01
1 01.160.01.161.00 2020,4333.0,GIZ.SEGURANTZA.UR HORNIDURA,50748.0,50748.0,0.0,56825.89,-6077.89,56825.89,56825.89,56825.89,56825.89,2020,16100,,1,,01
1 01.160.01.164.00 2020,4334.0,GIZARTE SEGUR:HILERRIA,8858.0,8858.0,0.0,-10862.58,19720.58,-10862.58,-10862.58,-10862.58,-10862.58,2020,16400,,1,,01
1 01.160.01.165.00 2020,4335.0,GIZ.SEGURANTZA.KALEKO ARGIKUNTZA,10525.0,10525.0,0.0,12737.77,-2212.77,12737.77,12737.77,12737.77,12737.77,2020,16500,,1,,01
1 01.160.01.172.20 2020,4336.0,GIZARTE SEGUR:INGURUMENA,11703.0,11703.0,0.0,12726.74,-1023.74,12726.74,12726.74,12726.74,12726.74,2020,17220,,1,,01
1 01.160.01.231.00 2020,4339.0,GIZARTE SEGUR:BERDINTASUNA,31861.0,31861.0,0.0,30965.06,895.94,30965.06,30965.06,30965.06,30965.06,2020,23100,,1,,01
1 01.160.01.231.01 2020,4338.0,GIZARTE SEGUR:LANKIDETZA,816.0,816.0,0.0,0.0,816.0,0.0,0.0,0.0,0.0,2020,23101,,1,,01
1 01.160.01.231.03 2020,4870.0,GIZARTE SEGUR. GAZTERIA,20813.0,20813.0,0.0,22304.12,-1491.12,22304.12,22304.12,22304.12,22304.12,2020,23103,,1,,01
1 01.160.01.241.00 2020,4340.0,GIZARTE SEGUR:TOKI GARAPENA,33982.0,33982.0,0.0,45730.54,-11748.54,45730.54,45730.54,45730.54,45730.54,2020,24100,,1,,01
1 01.160.01.241.01 2020,4341.0,GIZARTE SEGURANTZA.ENPLEGU IKASTAROAK,102.0,102.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,2020,24101,,1,,01
1 01.160.01.241.02 2020,4342.0,GIZARTE SEGURANTZA.LANBIDE PROGRAMAK,47535.0,47535.0,0.0,36290.34,11244.66,36290.34,36290.34,36290.34,36290.34,2020,24102,,1,,01
1 01.160.01.323.10 2020,4344.0,GIZARTE SEGUR:IKASTETXEAK,36455.0,36455.0,0.0,36563.84,-108.84,36563.84,36563.84,36563.84,36563.84,2020,32310,,1,,01
1 01.160.01.324.10 2020,4346.0,GIZARTE SEGUR:HLP programak,41925.0,41925.0,0.0,36159.02,5765.98,36159.02,36159.02,36159.02,36159.02,2020,32410,,1,,01
1 01.160.01.326.01 2020,4347.0,GIZARTE SEGUR:MUSIKA ESKOLA,145291.0,145291.0,0.0,150436.33,-5145.33,150436.33,150436.33,150436.33,150436.33,2020,32601,,1,,01
1 01.160.01.330.00 2020,4348.0,GIZARTE SEGUR:KULTURA ZERBITZUA,24657.0,24657.0,0.0,29936.22,-5279.22,29936.22,29936.22,29936.22,29936.22,2020,33000,,1,,01
1 01.160.01.332.10 2020,4349.0,GIZARTE SEGUR:LIBURUTEGIA,48129.0,48129.0,0.0,52080.82,-3951.82,52080.82,52080.82,52080.82,52080.82,2020,33210,,1,,01
1 01.160.01.333.00 2020,4350.0,GIZARTE SEGUR:KULTUR ETXEA,17825.0,17825.0,0.0,21815.75,-3990.75,21815.75,21815.75,21815.75,21815.75,2020,33300,,1,,01
1 01.160.01.335.00 2020,4351.0,GIZARTE SEGUR:EUSKARA ZERBITZUA,42316.0,42316.0,0.0,42657.2,-341.2,42657.2,42657.2,42657.2,42657.2,2020,33500,,1,,01
1 01.160.01.335.10 2020,4352.0,GIZARTE SEGUR:EUSKALTEGIA,93377.0,93377.0,0.0,83932.12,9444.88,83932.12,83932.12,83932.12,83932.12,2020,33510,,1,,01
1 01.160.01.335.30 2020,4353.0,GIZARTE SEGUR:EUSKARA PLANA,10556.0,10556.0,0.0,11029.84,-473.84,11029.84,11029.84,11029.84,11029.84,2020,33530,,1,,01
1 01.160.01.337.00 2020,4354.0,GIZARTE SEGUR:UDALEKUAK,21448.0,21448.0,0.0,11109.95,10338.05,11109.95,11109.95,11109.95,11109.95,2020,33700,,1,,01
1 01.160.01.342.00 2020,4355.0,GIZ.SEG+OLAZ:KIROLDEGIA,125350.0,125350.0,0.0,122980.78,2369.22,122980.78,122980.78,122980.78,122980.78,2020,34200,,1,,01
1 01.160.01.342.01 2020,4356.0,GIZARTE SEGUR:IGERILEKUAK,4872.0,4872.0,0.0,4642.0,230.0,4642.0,4642.0,4642.0,4642.0,2020,34201,,1,,01
1 01.160.01.414.00 2020,4357.0,GIZARTE SEGUR:INGURUNEAREN HOBEKUNTZA,9113.0,9113.0,0.0,9902.33,-789.33,9902.33,9902.33,9902.33,9902.33,2020,41400,,1,,01
1 01.160.01.432.00 2020,4358.0,GIZARTE SEGUR:TURISMOA,10310.0,10310.0,0.0,11611.59,-1301.59,11611.59,11611.59,11611.59,11611.59,2020,43200,,1,,01
1 01.160.01.912.00 2020,4359.0,GIZARTE SEGUR:GOBERNU ORGANOAK,102318.0,102318.0,0.0,107088.13,-4770.13,107088.13,107088.13,107088.13,107088.13,2020,91200,,1,,01
1 01.160.01.920.00 2020,4360.0,GIZ.SEGURANTZA.ADMINISTRAZIO OROKORRA,100416.0,100416.0,0.0,97213.2,3202.8,97213.2,97213.2,97213.2,97213.2,2020,92000,,1,,01
1 01.160.01.920.10 2020,4361.0,GIZ.SEGURANTZA.PERTSONALA,44674.0,44674.0,0.0,35478.8,9195.2,35478.8,35478.8,35478.8,35478.8,2020,92010,,1,,01
1 01.160.01.920.11 2020,4362.0,GIZARTE SEGURANTZA.LAN SEGURTASUNA-OSASU,12626.0,12626.0,0.0,12590.47,35.53,12590.47,12590.47,12590.47,12590.47,2020,92011,,1,,01
1 01.160.01.920.20 2020,4363.0,GIZARTE SEGUR:INFORMATIKA,22796.0,22796.0,0.0,20653.24,2142.76,20653.24,20653.24,20653.24,20653.24,2020,92020,,1,,01
1 01.160.01.920.30 2020,4364.0,GIZARTE SEGUR:ARTXIBOA,11409.0,11409.0,0.0,12623.87,-1214.87,12623.87,12623.87,12623.87,12623.87,2020,92030,,1,,01
1 01.160.01.924.00 2020,5882.0,GIZARTE SEGUR.PARTEHARTZEA,10178.0,10178.0,0.0,-764.52,10942.52,-764.52,-764.52,-764.52,-764.52,2020,92400,,1,,01
