Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago,Año,Funcional,Dirección,Capítulo,Sección,Orgánica
1 01.160.04.231.03 2021,5610.0,Elkarkidetza,1430.0,1430.0,0.0,0.0,1430.0,0.0,0.0,0.0,0.0,2021,23103,,1,,01
1 01.160.04.241.00 2021,4379.0,Elkarkidetza,2310.0,2310.0,0.0,188.46,2121.54,188.46,188.46,188.46,188.46,2021,24100,,1,,01
1 01.160.04.241.01 2021,6375.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,24101,,1,,01
1 01.160.04.241.02 2021,6376.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,24102,,1,,01
1 01.160.04.323.10 2021,4380.0,Elkarkidetza,1650.0,1650.0,0.0,141.98,1508.02,141.98,141.98,141.98,141.98,2021,32310,,1,,01
1 01.160.04.324.10 2021,6377.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,32410,,1,,01
1 01.160.04.326.01 2021,4382.0,Elkarkidetza,10038.0,10038.0,0.0,665.12,9372.88,665.12,665.12,665.12,665.12,2021,32601,,1,,01
1 01.160.04.330.00 2021,6378.0,Ssocial,1430.0,1430.0,0.0,0.0,1430.0,0.0,0.0,0.0,0.0,2021,33000,,1,,01
1 01.160.04.332.10 2021,4384.0,Elkarkidetza,3410.0,3410.0,0.0,461.85,2948.15,461.85,461.85,461.85,461.85,2021,33210,,1,,01
1 01.160.04.333.00 2021,4385.0,Elkarkidetza,1100.0,1100.0,0.0,70.99,1029.01,70.99,70.99,70.99,70.99,2021,33300,,1,,01
1 01.160.04.335.00 2021,4386.0,Elkarkidetza,2860.0,2860.0,0.0,395.52,2464.48,395.52,395.52,395.52,395.52,2021,33500,,1,,01
1 01.160.04.335.10 2021,4387.0,Elkarkidetza,6050.0,6050.0,0.0,809.64,5240.36,809.64,809.64,809.64,809.64,2021,33510,,1,,01
1 01.160.04.335.30 2021,4388.0,Elkarkidetza,770.0,770.0,0.0,103.53,666.47,103.53,103.53,103.53,103.53,2021,33530,,1,,01
1 01.160.04.337.00 2021,6379.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,33700,,1,,01
1 01.160.04.342.00 2021,4389.0,Elkarkidetza,7920.0,7920.0,0.0,736.49,7183.51,736.49,736.49,736.49,736.49,2021,34200,,1,,01
1 01.160.04.342.01 2021,6380.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,34201,,1,,01
1 01.160.04.414.00 2021,4391.0,Elkarkidetza,550.0,550.0,0.0,70.99,479.01,70.99,70.99,70.99,70.99,2021,41400,,1,,01
1 01.160.04.432.00 2021,4392.0,Elkarkidetza,770.0,770.0,0.0,103.53,666.47,103.53,103.53,103.53,103.53,2021,43200,,1,,01
1 01.160.04.912.00 2021,6381.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,91200,,1,,01
1 01.160.04.920.00 2021,4394.0,Elkarkidetza,7370.0,7370.0,0.0,863.27,6506.73,863.27,863.27,863.27,863.27,2021,92000,,1,,01
1 01.160.04.920.10 2021,4395.0,Elkarkidetza,2970.0,2970.0,0.0,169.86,2800.14,169.86,169.86,169.86,169.86,2021,92010,,1,,01
1 01.160.04.920.11 2021,4396.0,Elkarkidetza,770.0,770.0,0.0,103.53,666.47,103.53,103.53,103.53,103.53,2021,92011,,1,,01
1 01.160.04.920.20 2021,4397.0,Elkarkidetza,1430.0,1430.0,0.0,103.53,1326.47,103.53,103.53,103.53,103.53,2021,92020,,1,,01
