Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 05.227.98.153.40 2016 (5423),5423,KONTRAT.KARTOGRAFA-GIS ZERBITZUA.,2016,0.0,0.0
1 05.422.02.414.00 2016 (5523),5523,EKARPENA:BEHEMENDI,2016,0.0,0.0
1 05.609.01.134.00 2016 (5526),5526,IRISGARRITASUN PLANA,2016,0.0,0.0
1 05.609.01.153.30 2016 (5528),5528,URBANIZ-MañeFlaquer Plaza,2016,0.0,0.0
1 05.622.01.323.10 2016 (5532),5532,IKASTETXEAK-INBERTSIOAK,2016,0.0,10046.75
1 05.622.01.920.02 2016 (5533),5533,UDAL ERAIKINAK-INBERTSIOAK,2016,0.0,31334.16
1 05.623.02.161.00 2016 (5535),5535,INSTALAZIOAK: UR HORNIDURA,2016,0.0,102441.47
1 09.211.01.323.10 2016 (5537),5537,HERABAKI-6-HAURRENTZAT GELA,2016,0.0,1186.33
1 09.601.01.153.30 2016 (5538),5538,HERABAKI-5-EZKIAGA-TILOS-ZOLADURA,2016,0.0,0.0
1 09.623.02.342.03 2016 (5539),5539,HERABAKI-17-LANDARE HOBEKUNTZAK,2016,0.0,0.0
1 09.629.01.333.00 2016 (5517),5517,HERABAKI-3-BITERI EKIPOAK,2016,0.0,8893.5
1 01.100.01.912.00 2017 (4245),4245,SOLDATAK.GOBERNU ORGANOAK,2017,160463.0,167344.2
1 01.110.01.912.00 2017 (4246),4246,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,2017,72441.0,77538.72
1 01.120.01.132.00 2017 (4247),4247,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,2017,347872.0,324860.18
1 01.120.01.151.00 2017 (4248),4248,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,2017,115688.0,97543.98
1 01.120.01.153.40 2017 (4249),4249,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,2017,165912.0,155129.56
1 01.120.01.161.00 2017 (4251),4251,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,2017,48601.0,40720.62
1 01.120.01.164.00 2017 (4252),4252,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,2017,8657.0,8709.81
