Partida,Barruko ,Deskribapena,B. betiko aurrek.,Has.ko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.121.99.333.00 2019,4300.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTUR E,35405.0,35405.0,0.0,43600.69,-8195.69,43600.69,43600.69,43600.69,43600.69,2019,33300,,1,,01
1 01.121.99.335.00 2019,4301.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,82514.0,82514.0,0.0,87271.88,-4757.88,87271.88,87271.88,87271.88,87271.88,2019,33500,,1,,01
1 01.121.99.335.10 2019,4302.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKALTE,150775.0,150775.0,0.0,177463.99,-26688.99,177463.99,177463.99,177463.99,177463.99,2019,33510,,1,,01
1 01.121.99.335.30 2019,4303.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,19127.0,19127.0,0.0,19407.02,-280.02,19407.02,19407.02,19407.02,19407.02,2019,33530,,1,,01
1 01.121.99.335.40 2019,4304.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UDALEKUA,12459.0,12459.0,0.0,13523.35,-1064.35,13523.35,13523.35,13523.35,13523.35,2019,33540,,1,,01
1 01.121.99.342.00 2019,4305.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KIROLDEG,264973.0,264973.0,0.0,296153.03,-31180.03,296153.03,296153.03,296153.03,296153.03,2019,34200,,1,,01
1 01.121.99.342.01 2019,4306.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IGERILEK,10590.0,10590.0,0.0,7748.43,2841.57,7748.43,7748.43,7748.43,7748.43,2019,34201,,1,,01
1 01.121.99.414.00 2019,4307.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUNE,19294.0,19294.0,0.0,21184.65,-1890.65,21184.65,21184.65,21184.65,21184.65,2019,41400,,1,,01
1 01.121.99.432.00 2019,4308.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TURISMOA,19127.0,19127.0,0.0,19409.34,-282.34,19409.34,19409.34,19409.34,19409.34,2019,43200,,1,,01
1 01.121.99.920.00 2019,4310.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,266331.0,266331.0,0.0,208945.4,57385.6,208945.4,208945.4,208945.4,208945.4,2019,92000,,1,,01
1 01.121.99.920.10 2019,4311.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PERTSONA,68937.0,68937.0,0.0,72474.29,-3537.29,72474.29,72474.29,72474.29,72474.29,2019,92010,,1,,01
1 01.121.99.920.11 2019,4312.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LAN SEGU,27640.0,27640.0,0.0,28211.99,-571.99,28211.99,28211.99,28211.99,28211.99,2019,92011,,1,,01
1 01.121.99.920.20 2019,4313.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INFORMAT,46694.0,46694.0,0.0,50623.61,-3929.61,50623.61,50623.61,50623.61,50623.61,2019,92020,,1,,01
1 01.121.99.920.30 2019,4314.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ARTXIBOA,21568.0,21568.0,0.0,21952.72,-384.72,21952.72,21952.72,21952.72,21952.72,2019,92030,,1,,01
