Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago,Año,Funcional,Dirección,Capítulo,Sección,Orgánica
1 01.160.04.335.00 2019,4386.0,FONDO PENSIONES ELKARKIDETZA: S. EUSKARA,4002.0,4002.0,0.0,5493.46,-1491.46,5493.46,5493.46,5493.46,5493.46,2019,33500,,1,,01
1 01.160.04.335.10 2019,4387.0,FONDO PENSIONES ELKARKIDETZA: EUSKALTEGI,10905.0,10905.0,0.0,11245.22,-340.22,11245.22,11245.22,11245.22,11245.22,2019,33510,,1,,01
1 01.160.04.335.30 2019,4388.0,FONDO PENSIONES ELKARKIDETZA: EUSKARA PL,1418.0,1418.0,0.0,1437.94,-19.94,1437.94,1437.94,1437.94,1437.94,2019,33530,,1,,01
1 01.160.04.342.00 2019,4389.0,FONDO PENSIONES ELKARKIDETZA: POLIDEPORT,11639.0,11639.0,0.0,12426.85,-787.85,12426.85,12426.85,12426.85,12426.85,2019,34200,,1,,01
1 01.160.04.414.00 2019,4391.0,FONDO PENSIONES ELKARKIDETZA: MEJORA M.A,973.0,973.0,0.0,986.02,-13.02,986.02,986.02,986.02,986.02,2019,41400,,1,,01
1 01.160.04.432.00 2019,4392.0,FONDO PENSIONES ELKARKIDETZA: TURISMO,1418.0,1418.0,0.0,1437.94,-19.94,1437.94,1437.94,1437.94,1437.94,2019,43200,,1,,01
1 01.160.04.912.00 2019,6064.0,Elkarkidetza: Gobernu Organoak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,91200,,1,,01
1 01.160.04.920.00 2019,4394.0,FONDO PENSIONES ELKARKIDETZA: ADMIN.GENE,7366.0,7366.0,0.0,8451.52,-1085.52,8451.52,8451.52,8451.52,8451.52,2019,92000,,1,,01
1 01.160.04.920.10 2019,4395.0,FONDO PENSIONES ELKARKIDETZA: PERSONAL,2328.0,2328.0,0.0,2359.28,-31.28,2359.28,2359.28,2359.28,2359.28,2019,92010,,1,,01
1 01.160.04.920.11 2019,4396.0,FONDO PENSIONES ELKARKIDETZA: SEG- SALUD,1418.0,1418.0,0.0,1437.94,-19.94,1437.94,1437.94,1437.94,1437.94,2019,92011,,1,,01
1 01.160.04.920.20 2019,4397.0,FONDO PENSIONES ELKARKIDETZA:INFORMATICA,1418.0,1418.0,0.0,1437.94,-19.94,1437.94,1437.94,1437.94,1437.94,2019,92020,,1,,01
1 01.160.04.920.30 2019,4398.0,FONDO PENSIONES ELKARKIDETZA: ARCHIVO,1738.0,1738.0,0.0,1760.92,-22.92,1760.92,1760.92,1760.92,1760.92,2019,92030,,1,,01
1 01.160.04.929.10 2019,4399.0,FONDO PENSIONES ELKARKIDETZA: JUZGAD PAZ,243.0,243.0,0.0,375.62,-132.62,375.62,375.62,375.62,375.62,2019,92910,,1,,01
1 01.160.04.931.00 2019,4400.0,FONDO PENSIONES ELKARKIDETZA: ADM ECONOM,2902.0,2902.0,0.0,4120.2,-1218.2,4120.2,4120.2,4120.2,4120.2,2019,93100,,1,,01
1 01.160.04.932.00 2019,4401.0,FONDO PENSIONES ELKARKIDETZA:RECAUDACION,4655.0,4655.0,0.0,4718.56,-63.56,4718.56,4718.56,4718.56,4718.56,2019,93200,,1,,01
1 01.160.04.933.00 2019,4402.0,FONDO PENSIONES ELKARKIDETZA: PATRIM-CON,1164.0,1164.0,0.0,3365.52,-2201.52,3365.52,3365.52,3365.52,3365.52,2019,93300,,1,,01
1 02.160.06.920.10 2019,5160.0,Asistencia medica,5500.0,5500.0,0.0,5820.0,-320.0,5820.0,5820.0,5820.0,5820.0,2019,92010,,1,,02
1 02.161.03.920.10 2019,5161.0,Indemnizaciones prejubilación,172200.0,172200.0,0.0,152792.99,19407.01,152792.99,152792.99,152792.99,152792.99,2019,92010,,1,,02
1 02.162.01.335.30 2019,4413.0,Euskaldunizacion trabajadores,5000.0,5000.0,0.0,7091.41,-2091.41,7091.41,7091.41,7091.41,7091.41,2019,33530,,1,,02
1 02.162.01.920.10 2019,4414.0,Formacion,10000.0,10000.0,0.0,9162.0,838.0,9162.0,8202.0,8202.0,8202.0,2019,92010,,1,,02
1 02.162.01.920.10 2018,5917.0,Formacion,0.0,180.0,0.0,180.0,0.0,180.0,180.0,180.0,180.0,2018,92010,,1,,02
1 02.162.05.920.10 2019,4416.0,Seguro vida,40000.0,40000.0,0.0,35324.28,4675.72,35324.28,35324.28,35324.28,35324.28,2019,92010,,1,,02
1 02.210.01.414.00 2019,4598.0,Ingurunea,30000.0,30000.0,0.0,33528.57,-3528.57,33528.57,33528.57,33528.57,33528.57,2019,41400,,2,,02
1 02.210.01.414.00 2018,6009.0,Ingurunea,0.0,14231.8,0.0,13897.04,334.76,13897.04,13897.04,13897.04,13897.04,2018,41400,,2,,02
1 02.211.01.333.00 2019,4607.0,Mantenimiento Kultur Etxea,9000.0,9000.0,0.0,7875.05,1124.95,7875.05,7875.05,7875.05,7875.05,2019,33300,,2,,02
1 02.211.01.342.00 2019,4417.0,Mantenimiento,74000.0,74000.0,0.0,49753.63,24246.37,49753.63,41087.27,41087.27,41087.27,2019,34200,,2,,02
1 02.211.01.342.00 2018,5918.0,Mantenimiento,0.0,12885.65,0.0,10689.6,2196.05,10689.6,7295.55,7295.55,7295.55,2018,34200,,2,,02
1 02.211.01.342.01 2019,4418.0,Mntenimiento,10000.0,10000.0,0.0,14667.51,-4667.51,14667.51,13212.12,13212.12,13212.12,2019,34201,,2,,02
1 02.211.01.342.02 2019,4419.0,Mantenimiento zubipe,6000.0,12851.0,0.0,11797.28,1053.72,11797.28,11797.28,11797.28,11797.28,2019,34202,,2,,02
1 02.211.01.342.02 2018,5919.0,Mantenimiento zubipe,0.0,11182.19,0.0,10994.93,187.26,10994.93,5994.93,5994.93,5994.93,2018,34202,,2,,02
1 02.211.01.342.03 2019,4420.0,Mantenimiento Landare,6000.0,24380.0,0.0,26845.07,-2465.07,26845.07,26845.07,26845.07,26845.07,2019,34203,,2,,02
1 02.211.01.342.09 2019,4421.0,Otras instalaciones deporte,3000.0,3000.0,0.0,2879.26,120.74,2879.26,2879.26,2879.26,2879.26,2019,34209,,2,,02
1 02.211.02.342.00 2019,5612.0,Mantenimiento ascensor-polideportivo,14000.0,14000.0,0.0,14707.26,-707.26,14707.26,14707.26,14707.26,14707.26,2019,34200,,2,,02
1 02.212.01.342.00 2019,4422.0,Gimnasio,18000.0,18000.0,0.0,20044.92,-2044.92,20044.92,18749.53,18749.53,18749.53,2019,34200,,2,,02
1 02.212.01.414.00 2019,4619.0,Mantenimiento Ingurumena,3000.0,3000.0,0.0,157.67,2842.33,157.67,157.67,157.67,157.67,2019,41400,,2,,02
1 02.213.01.132.00 2019,4423.0,Mantenimiento vehiculo,12000.0,12000.0,0.0,6565.93,5434.07,6565.93,6565.93,6565.93,6565.93,2019,13200,,2,,02
1 02.213.01.414.00 2019,4627.0,Mantenimiento Ingurumena,3500.0,3500.0,0.0,3402.24,97.76,3402.24,3402.24,3402.24,3402.24,2019,41400,,2,,02
1 02.213.01.920.00 2019,4628.0,Mantenimiento vehiculo,1000.0,1000.0,0.0,274.83,725.17,274.83,274.83,274.83,274.83,2019,92000,,2,,02
1 02.214.01.920.00 2019,4629.0,Equipos oficina,48000.0,48000.0,0.0,47928.64,71.36,47928.64,47928.64,47928.64,47928.64,2019,92000,,2,,02
1 02.215.01.920.20 2019,4424.0,Mantenimiento,47000.0,47000.0,0.0,48718.52,-1718.52,48718.52,48718.52,48718.52,48718.52,2019,92020,,2,,02
1 02.220.01.920.00 2019,5883.0,Material oficina,30000.0,30000.0,0.0,20920.79,9079.21,20920.79,20920.79,20920.79,20920.79,2019,92000,,2,,02
1 02.221.04.132.00 2019,4427.0,Combustible vehiculo,9000.0,9000.0,0.0,7668.13,1331.87,7668.13,7668.13,7668.13,7668.13,2019,13200,,2,,02
1 02.221.04.414.00 2019,4641.0,Gas,1250.0,1250.0,0.0,1277.72,-27.72,1277.72,1277.72,1277.72,1277.72,2019,41400,,2,,02
1 02.221.04.920.00 2019,4642.0,Gas,500.0,500.0,0.0,427.92,72.08,427.92,427.92,427.92,427.92,2019,92000,,2,,02
1 02.221.05.132.00 2019,5614.0,Uniformes-,10000.0,10000.0,0.0,11365.56,-1365.56,11365.56,7828.56,7828.56,7828.56,2019,13200,,2,,02
1 02.221.05.132.00 2018,5920.0,Uniformes-,0.0,1323.74,0.0,1323.74,0.0,1323.74,1323.74,1323.74,1323.74,2018,13200,,2,,02
1 02.221.05.920.10 2019,4428.0,Vestuario,5000.0,5000.0,0.0,6227.72,-1227.72,6227.72,6227.72,6227.72,6227.72,2019,92010,,2,,02
1 02.221.05.920.10 2018,5921.0,Vestuario,0.0,777.01,0.0,777.01,0.0,777.01,777.01,777.01,777.01,2018,92010,,2,,02
1 02.221.06.323.30 2019,4429.0,Alimentacion,40000.0,40000.0,0.0,37659.64,2340.36,37659.64,37659.64,37659.64,37659.64,2019,32330,,2,,02
1 02.221.08.342.00 2019,4430.0,Productos farmacia,500.0,500.0,0.0,267.85,232.15,267.85,267.85,267.85,267.85,2019,34200,,2,,02
1 02.221.11.136.00 2019,4644.0,Herramientas,900.0,900.0,0.0,685.66,214.34,685.66,0.0,0.0,0.0,2019,13600,,2,,02
1 02.221.13.342.00 2019,4431.0,Productos piscina,6000.0,6000.0,0.0,5015.54,984.46,5015.54,5015.54,5015.54,5015.54,2019,34200,,2,,02
1 02.221.13.342.01 2019,4432.0,Productos piscina,7000.0,7000.0,0.0,5691.55,1308.45,5691.55,5691.55,5691.55,5691.55,2019,34201,,2,,02
1 02.221.14.342.00 2019,4433.0,Tarjetas cursos,5000.0,5000.0,0.0,782.14,4217.86,782.14,782.14,782.14,782.14,2019,34200,,2,,02
